ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-01,1190.69564026,1157.5771367192222,1412.1079724271187,1190.69564026,1190.69564026,96.52859846505964,96.52859846505964,96.52859846505964,-11.318739975438312,-11.318739975438312,-11.318739975438312,107.84733844049796,107.84733844049796,107.84733844049796,0.0,0.0,0.0,1287.2242387250594
2018-01-02,1195.1321275420512,1172.6901531180104,1432.1550248751298,1195.1321275420512,1195.1321275420512,102.45401518433346,102.45401518433346,102.45401518433346,-9.813608091913663,-9.813608091913663,-9.813608091913663,112.26762327624712,112.26762327624712,112.26762327624712,0.0,0.0,0.0,1297.5861427263847
2018-01-03,1199.5686148241027,1173.904387451977,1430.1607173758832,1199.5686148241027,1199.5686148241027,108.30906684406608,108.30906684406608,108.30906684406608,-8.435019098179035,-8.435019098179035,-8.435019098179035,116.74408594224512,116.74408594224512,116.74408594224512,0.0,0.0,0.0,1307.8776816681689
2018-01-04,1204.0051021061538,1179.9818660581543,1439.1770711055492,1204.0051021061538,1204.0051021061538,111.19031828012702,111.19031828012702,111.19031828012702,-10.075088241784643,-10.075088241784643,-10.075088241784643,121.26540652191166,121.26540652191166,121.26540652191166,0.0,0.0,0.0,1315.1954203862808
2018-01-05,1208.441589388205,1186.9293636570662,1449.7744252202592,1208.441589388205,1208.441589388205,114.21878726493033,114.21878726493033,114.21878726493033,-11.600021620783792,-11.600021620783792,-11.600021620783792,125.81880888571412,125.81880888571412,125.81880888571412,0.0,0.0,0.0,1322.6603766531355
2018-01-08,1221.751051234359,1217.0466597952454,1479.2584385365546,1221.751051234359,1221.751051234359,128.2054867636799,128.2054867636799,128.2054867636799,-11.31873997546231,-11.31873997546231,-11.31873997546231,139.52422673914222,139.52422673914222,139.52422673914222,0.0,0.0,0.0,1349.9565379980388
2018-01-09,1226.18753851641,1234.8823537240473,1489.174621321422,1226.18753851641,1226.18753851641,134.23959953950907,134.23959953950907,134.23959953950907,-9.813608091919011,-9.813608091919011,-9.813608091919011,144.05320763142808,144.05320763142808,144.05320763142808,0.0,0.0,0.0,1360.4271380559192
2018-01-10,1230.6240257984614,1235.7355532098065,1504.3665276947063,1230.6240257984614,1230.6240257984614,140.0980411420941,140.0980411420941,140.0980411420941,-8.435019098242083,-8.435019098242083,-8.435019098242083,148.5330602403362,148.5330602403362,148.5330602403362,0.0,0.0,0.0,1370.7220669405556
2018-01-11,1235.060513080513,1248.848492766908,1512.375858739812,1235.060513080513,1235.060513080513,142.8702403251891,142.8702403251891,142.8702403251891,-10.075088241779412,-10.075088241779412,-10.075088241779412,152.9453285669685,152.9453285669685,152.9453285669685,0.0,0.0,0.0,1377.930753405702
2018-01-12,1239.497000362564,1256.9405488125758,1525.4246512763432,1239.497000362564,1239.497000362564,145.67129860308287,145.67129860308287,145.67129860308287,-11.600021620757106,-11.600021620757106,-11.600021620757106,157.27132022384,157.27132022384,157.27132022384,0.0,0.0,0.0,1385.168298965647
2018-01-15,1252.806462208718,1289.3724849158016,1538.9747212378331,1252.806462208718,1252.806462208718,158.22731801036514,158.22731801036514,158.22731801036514,-11.318739975501186,-11.318739975501186,-11.318739975501186,169.5460579858663,169.5460579858663,169.5460579858663,0.0,0.0,0.0,1411.033780219083
2018-01-16,1257.2429494907692,1294.0940307048284,1554.8613587316295,1257.2429494907692,1257.2429494907692,163.52979868852535,163.52979868852535,163.52979868852535,-9.813608091951243,-9.813608091951243,-9.813608091951243,173.3434067804766,173.3434067804766,173.3434067804766,0.0,0.0,0.0,1420.7727481792945
2018-01-17,1261.6794367728205,1304.7439727429792,1568.5455944477935,1261.6794367728205,1261.6794367728205,168.53047477296218,168.53047477296218,168.53047477296218,-8.435019098220199,-8.435019098220199,-8.435019098220199,176.9654938711824,176.9654938711824,176.9654938711824,0.0,0.0,0.0,1430.2099115457827
2018-01-18,1266.1159240548716,1306.4959459091483,1559.7191845144905,1266.1159240548716,1266.1159240548716,170.32179390947672,170.32179390947672,170.32179390947672,-10.075088241808908,-10.075088241808908,-10.075088241808908,180.39688215128564,180.39688215128564,180.39688215128564,0.0,0.0,0.0,1436.4377179643484
2018-01-19,1270.5524113369231,1313.87200658327,1585.2358236103346,1270.5524113369231,1270.5524113369231,172.02329597635963,172.02329597635963,172.02329597635963,-11.60002162073042,-11.60002162073042,-11.60002162073042,183.62331759709005,183.62331759709005,183.62331759709005,0.0,0.0,0.0,1442.5757073132827
2018-01-22,1283.8618731830768,1333.6737422594215,1606.7321420518401,1283.8618731830768,1283.8618731830768,180.6315364526314,180.6315364526314,180.6315364526314,-11.318739975449772,-11.318739975449772,-11.318739975449772,191.95027642808117,191.95027642808117,191.95027642808117,0.0,0.0,0.0,1464.4934096357083
